,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
0,5-LOX activating protein,peptide,['alox5ap'],,,,,inferred from Human
1,ACTH,peptide,"['pomca', 'pomcb']",,,,,inferred from Mouse
2,ADP-ribosylation factor 1,peptide,['arf2a'],,,,,inferred from Human
3,BAFF,peptide,['tnfsf13b'],,,,,inferred from Human
4,BDNF,peptide,['bdnf'],,,,,inferred from Human
5,BMP-10,peptide,"['bmp10', 'bmp10l']",,,,,inferred from Human
6,BMP-2,peptide,"['bmp2a', 'bmp2b']",,,,,inferred from Human
7,BMP-4,peptide,['bmp4'],,,,,inferred from Human
8,BMP-5,peptide,['bmp5'],,,,,inferred from Human
9,BMP-6,peptide,['bmp6'],,,,,inferred from Human
10,BMP-7,peptide,"['bmp7a', 'bmp7b']",,,,,inferred from Human
11,BMP-8A,peptide,['bmp8a'],,,,,inferred from Human
12,BMP-8B,peptide,['bmp8a'],,,,,inferred from Human
13,BMP-9,peptide,['gdf2'],,,,,inferred from Human
14,C-type natriuretic peptide,peptide,['nppc'],,,,,inferred from Human
15,C3a,peptide,"['c3b.2', 'c3b.1']",,,,,inferred from Human
16,C5a,peptide,['c5'],,,,,inferred from Human
17,C5a des-Arg,peptide,['c5'],,,,,inferred from Human
18,CCK-33,peptide,"['ccka', 'cckb']",,,,,inferred from Human
19,CCK-4,peptide,"['ccka', 'cckb']",,,,,inferred from Human
20,CCK-58,peptide,"['ccka', 'cckb']",,,,,inferred from Human
21,CCK-8,peptide,"['ccka', 'cckb']",,,,,inferred from Mouse
22,CCL1,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
23,CCL11,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Mouse
24,CCL13,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
25,CCL2,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
26,CCL24,peptide,"['ccl35.2', 'ccl35.1']",,,,,inferred from Human
27,CCL26,peptide,"['ccl35.2', 'ccl35.1']",,,,,inferred from Human
28,CCL27,peptide,"['ccl27a', 'ccl27b']",,,,,inferred from Human
29,CCL28,peptide,"['ccl27a', 'ccl27b']",,,,,inferred from Human
30,CCL7,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
31,CCL8,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Mouse
32,CST-17,peptide,['cenps'],,,,,inferred from Human
33,CX3CL1,peptide,"['ccl38a.5', 'ccl38a.4', 'ccl38.1', 'ccl38.6']",,,,,inferred from Human
34,CXCL12α,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
35,CXCL12β,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
36,CXCL12γ,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
37,CXCL12δ,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
38,CXCL12ε,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
39,CXCL12φ,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
40,CXCL7,peptide,"['cxcl18b', 'cxcl20', 'CR762483.1']",,,,,inferred from Human
41,CXCL9,peptide,"['cxcl11.5', 'cxcl11.7', 'cxcl11.6', 'cxcl11.8', 'BX323596.1', 'BX323596.2']",,,,,inferred from Human
42,EGF,peptide,['egf'],,,,,inferred from Human
43,FLRT3,peptide,['flrt3'],,,,,inferred from Rat
